title,condition_0_conditionDisplayName,discountPriceInfo_0_originalRetailPrice_0___value__,isMultiVariationListing,listingInfo_0_watchCount,primaryCategory_0_categoryName,returnsAccepted,sellingStatus_0_convertedCurrentPrice_0___value__,shippingInfo_0_handlingTime,shippingInfo_0_oneDayShippingAvailable,shippingInfo_0_shippingServiceCost_0___value__,topRatedListing,Discount_amount,DiscountPercentage
"['Acer - Chromebook 315 - 15.6"" HD Laptop - Intel Pentium N6000 - 4GB LPDDR4X -...']",['New'],349.0,['false'],['78'],['PC Laptops & Netbooks'],['true'],129.0,['2'],['true'],0.0,['false'],220.0,63.03724928366762
"['ASUS VivoBook17.3” FHD Laptop, Intel Core i3-1115G4,8GB/256GB,Transparent silver']",['Certified - Refurbished'],399.99,['false'],['910'],['PC Laptops & Netbooks'],['true'],225.99,['1'],['false'],0.0,['false'],174.0,43.50108752718818
"['Acer Aspire 3 15.6"" Laptop 512GB AMD Ryzen 7 5700U 1.8GHz Certified Refurbished']",['Certified - Refurbished'],599.99,['false'],['578'],['PC Laptops & Netbooks'],['true'],309.39,['3'],['false'],0.0,['false'],290.6,48.434140569009486
"['2023 ASUS Zenbook UM3402YA 14"" 2.8K OLED Touch Laptop Ryzen5 7530U 8GB 256GB W11']",['Certified - Refurbished'],949.99,['false'],['1573'],['PC Laptops & Netbooks'],['true'],375.0,['1'],['true'],0.0,['true'],574.99,60.525900272634445
"['Acer Chromebook3 Laptop 15.6"" 4GB 64GB Intel N4500 1.10GHz Certified Refurbished']",['Certified - Refurbished'],199.0,['false'],['148'],['PC Laptops & Netbooks'],['true'],90.99,['3'],['false'],0.0,['false'],108.01,54.276381909547744
"['Microsoft Surface Book 2 i5 8GB RAM 256GB SSD 13.5""  3000x2000 W10-READ']",['Good - Refurbished'],139.0,['false'],['29'],['PC Laptops & Netbooks'],['true'],139.0,['0'],['false'],0.0,['true'],0.0,0.0
['windows 11 laptop with MS office '],['Used'],109.0,['false'],['16'],['PC Laptops & Netbooks'],['false'],109.0,['3'],['false'],0.0,['false'],0.0,0.0
"['Lenovo ThinkPad T480 14"" FHD i5 8350u 16GB 512gb NVME WIFI CAM WIN 11 PRO laptop']",['Excellent - Refurbished'],244.99,['false'],['621'],['PC Laptops & Netbooks'],['true'],244.99,['2'],['false'],0.0,['false'],0.0,0.0
['Lenovo 100W Gen 3 Laptop – Open BOX – Model 82HY – WIN 11'],['Open box'],99.0,['false'],['34'],['PC Laptops & Netbooks'],['true'],99.0,['1'],['false'],0.0,['false'],0.0,0.0
"['Lenovo Laptop PC Computer 11.6"" Windows 10 Intel 4GB RAM 64GB SSD WiFi']",['Very Good - Refurbished'],92.56,['false'],['851'],['PC Laptops & Netbooks'],['true'],92.56,['2'],['false'],0.0,['false'],0.0,0.0
['HP ProBook Laptop PC 14 Core i5 16GB RAM 512GB Windows 11 Pro TOUCHSCREEN OFFICE'],['Used'],599.88,['false'],['181'],['PC Laptops & Netbooks'],['true'],599.88,['3'],['false'],0.0,['false'],0.0,0.0
